round	time	inputs	outputs	response
0	42.79109645	295	10	Keep the conversation simple and focus on the topic.
1	2.96408248	291	9	A great way to make life more enjoyable.
2	0.56009030	296	11	Giving each other room and respecting each other's opinions.
3	3.49627614	298	19	When you find yourself having to negotiate with others, consider how you would like to be treated.
4	7.05128074	293	12	You can see all of our locations by visiting our website.
5	11.98965526	299	6	I am in the brain.
6	10.69715357	296	11	Amazon, Zazzle, Gilt, or eBay
7	0.89109898	300	6	Stealing time to sleep.
8	1.53595185	312	8	Make an offer; bargain or accept.
9	14.32041001	290	7	How did you like the lecture?
10	3.16387963	293	13	Planning and setting up a party the day before or after.
11	2.07967782	293	17	You received a reward for your good behaviour. You may choose to keep the reward.
12	0.94522429	296	14	Improvise, be flexible, and engage in more challenging assignments.
13	25.08066750	294	22	If you’re going by car, you’ll arrive at your meeting room 15 minutes prior.
14	41.10507584	299	9	What are the benefits of netflix family?
15	0.46291518	299	8	Be clear on what you really want.
16	41.10301089	296	39	Get an excellent poker face, have a good relationship with a trusted confidant, and develop a relationship with the other party. Then be professional, be polite, and always stick to your guns.
17	16.93101954	307	10	Look at other options that may be less stressful.
18	10.48117208	294	9	I'm doing some work on my laptop.
19	4.26337957	299	11	Sorry, I don't understand what you're asking.
20	5.36688447	295	8	I just sent you a friend request.
21	42.33814859	296	7	Just read through the material thoroughly.
22	11.98437858	293	11	You know him. You think he's an idiot.
23	11.14126539	297	9	Think, be clear, and stay calm.
24	10.03021884	300	10	We sure hope they get the job, right?
25	2.07211661	296	8	Are you sure you want the first?
26	17.87579274	292	7	Be honest with yourself and others.
27	7.00762200	302	15	Not exactly sure what happened, but probably something to do with budget cuts.
28	40.46859646	291	9	I'm in Washington, D.C.
29	4.08078003	297	10	I have an idea that'll cheer u up!
30	0.81311321	298	17	Talk to your family about your financial problems, and figure out ways to solve them.
31	46.56179905	336	6	lily-oh-nine
32	0.61671281	291	12	Get to know a few of your partner's friends first.
33	41.62696528	295	25	Tell your spouse or partner what you need and expect. Do it in a way that doesn't set you up for failure.
34	41.17030907	302	6	I don't have it.
35	10.82661104	302	11	Ask him what he would like and act on it.
36	10.00593042	292	25	Check out our game if you want to give it a try. DA is a great way to make friends and have fun!
37	0.56042004	296	11	We're wired to be attracted to the wrong people.
38	40.09544897	292	13	You can become more persuasive by understanding the other person's perspective.
39	4.25733662	303	14	The key to negotiation is to be honest and clear from the start.
40	33.34415841	298	11	Let your landlord know you are ready to pay rent.
41	9.87396550	296	8	The following two options are both available:
42	10.46855712	327	45	Your trip is great and the connection is still working. The problem is the lack of bandwidth. We are doing fine here though and enjoying our holiday. Everything at home is good and our family is looking forward to seeing you.
43	40.04300952	295	7	I don't think I do.
44	41.36354899	303	6	Listen more than you speak.
45	2.87186289	299	17	You may not remember this, but you took my notebook home last time you visited.
46	1.39464545	294	3	A lot.
47	15.33305168	292	5	Nike, because...
48	42.10160160	295	17	If you can't find what you are looking for, come to me and ask.
49	0.57983494	300	11	Don't go to bed too late or too early.
50	0.44092870	298	7	Keep your head in the game.
51	43.77708673	297	12	I don't like to gossip about others' personal lives.
52	41.69923019	294	22	Keep a record of what has been discussed, and be prepared to walk out if an agreement is not reached.
53	41.95172834	288	9	how r u? can i help u?
54	10.46494865	291	8	Yes, I'm doing just fine.
55	41.96144319	290	5	We should be friends.
56	41.97382355	293	14	Pink roses, yellow roses, and red roses are the most popular.
57	43.12717342	300	6	Thank you for your business.
58	0.69430661	299	11	Make a guest list, plan, and be prepared.
59	1.65316725	291	4	New York City.
60	41.37931156	292	9	Making clear requests and sticking to your guns.
61	3.22441125	292	24	A thorough analysis of the situation, taking into account the other party’s needs and desires, will be critical.
62	48.34592748	292	8	How can I approach a new customer?
63	21.32648826	296	4	Have a backup.
64	47.27529097	307	30	I am very enthusiastic about the concept of Food Evening. I would love to involve more people and develop plans for them. Do you have any suggestions?
65	40.37757683	290	12	Just got back in, and I'm feeling tired already.
66	12.28030562	291	16	Don't get stuck in the past, keep the channel open for new opportunities.
67	1.16907454	301	8	Negotiate in a friendly manner.
68	42.52529716	297	9	I’m good thanks, yourself?
69	4.19981766	292	18	Being prepared, understanding the other person's interests, building and maintaining relationships, and listening.
70	1.79699278	303	34	Negotiation can only happen with good listening skills; if you have a good idea, it's always a good thing - even if you don't agree on every point.
71	1.68302584	296	8	How can I stop procrastinating?
72	43.32284379	303	15	How can I take time to relax and be a well-rounded person?
73	16.90322542	300	14	What? I just asked if you're going out after work tonight.
74	43.72382855	303	11	Kids means more responsibility, time, and maintenance costs.
75	39.15674829	295	10	Be optimistic, be careful, and be prepared.
76	5.01336360	306	15	Be prepared and be well-prepared when meeting a potential business partner.
77	40.71460700	298	6	Ask for what you want.
78	41.49109578	291	9	How would you like your brain to be?
79	40.47551084	297	8	How can I deal with stressful situations?
